,Close Price,Fee,Purchased Price,Capital Gain,Order,CMF
0,87000.0,313,87313.0,0.0,BUY,0.04896626768226333
1,85000.0,391,87313.0,-2704.0,SELL,-0.10457516339869281
2,87500.0,315,87815.0,0.0,BUY,0.38118941577154836
3,90000.0,414,87815.0,1771.0,SELL,-0.1379950495049505
4,90000.0,324,90324.0,0.0,BUY,0.03460641922180385
5,125500.0,577,90324.0,34599.0,SELL,-0.0036058355720882088
6,132500.0,477,132977.0,0.0,BUY,0.09185414392743227
7,135000.0,621,132977.0,1402.0,SELL,-0.06541636755204594
8,165000.0,594,165594.0,0.0,BUY,0.10183895106038313
9,295000.0,1357,165594.0,128049.0,SELL,-0.017292138003054687
10,298000.0,1072,299072.0,0.0,BUY,0.036144635961938065
11,297000.0,1366,299072.0,-3438.0,SELL,-0.0070869178462847175
12,296000.0,1065,297065.0,0.0,BUY,0.035502660873049166
13,295000.0,1357,297065.0,-3422.0,SELL,-0.023090343461351626
14,282000.0,1015,283015.0,0.0,BUY,0.17434194332860742
15,278000.0,1278,283015.0,-6293.0,SELL,-0.042722866312962605
16,280000.0,1008,281008.0,0.0,BUY,0.08541829554339324
17,280000.0,1288,281008.0,-2296.0,SELL,-0.0058455114822547356
18,280000.0,1008,281008.0,0.0,BUY,0.13433342768185674
19,277000.0,1274,281008.0,-5282.0,SELL,-0.11047414947763197
20,274000.0,986,274986.0,0.0,BUY,0.005027230833682386
21,262000.0,1205,274986.0,-14191.0,SELL,-0.32241823996698654
22,264000.0,950,264950.0,0.0,BUY,0.5202850877192982
23,246000.0,1131,264950.0,-20081.0,SELL,-0.28454140276800377
24,291000.0,1047,292047.0,0.0,BUY,0.08866549656004336
25,285000.0,1311,292047.0,-8358.0,SELL,-0.07509901339683817
26,275000.0,990,275990.0,0.0,BUY,0.019344422531610665
27,277000.0,1274,275990.0,-264.0,SELL,-0.0039859308531119955
28,285000.0,1026,286026.0,0.0,BUY,0.007454794349852117
29,286000.0,1315,286026.0,-1341.0,SELL,-0.07772314929152166
30,281000.0,1011,282011.0,0.0,BUY,0.11512372634643372
31,278000.0,1278,282011.0,-5289.0,SELL,-0.0723554735547356
32,275000.0,990,275990.0,0.0,BUY,0.14218385440970596
33,276000.0,1269,275990.0,-1259.0,SELL,-0.05550802139037441
34,283000.0,1018,284018.0,0.0,BUY,0.0032530904359141044
35,275000.0,1265,284018.0,-10283.0,SELL,-0.09165539016689225
36,294000.0,1058,295058.0,0.0,BUY,0.15441415124959423
37,290000.0,1334,295058.0,-6392.0,SELL,-0.014559246344895119
38,286000.0,1029,287029.0,0.0,BUY,0.0591818973020017
39,285000.0,1311,287029.0,-3340.0,SELL,-0.05523535062439965
40,285000.0,1026,286026.0,0.0,BUY,0.1033707865168539
41,285000.0,1311,286026.0,-2337.0,SELL,-0.01534713763702805
42,285000.0,1026,286026.0,0.0,BUY,0.07041891544590076
43,285000.0,1311,286026.0,-2337.0,SELL,-0.026681805279591297
44,280000.0,1008,281008.0,0.0,BUY,0.46928140427866155
45,280000.0,1288,281008.0,-2296.0,SELL,-0.04168710152035311
46,280000.0,1008,281008.0,0.0,BUY,0.06719367588932806
47,279000.0,1283,281008.0,-3291.0,SELL,-0.11115340692805481
48,278000.0,1000,279000.0,0.0,BUY,0.012736056214317084
49,276000.0,1269,279000.0,-4269.0,SELL,-0.06836827711941659
50,278000.0,1000,279000.0,0.0,BUY,0.10888468809073724
51,268000.0,1232,279000.0,-12232.0,SELL,-0.08364973181462065
52,268000.0,964,268964.0,0.0,BUY,0.08415183138940042
53,272000.0,1251,268964.0,1785.0,SELL,-0.06431288635282932
54,275000.0,990,275990.0,0.0,BUY,0.2742772424017791
55,290000.0,1334,275990.0,12676.0,SELL,-0.03396207733056091
56,293000.0,1054,294054.0,0.0,BUY,0.0470440251572327
57,290000.0,1334,294054.0,-5388.0,SELL,-0.02484180923365362
58,292000.0,1051,293051.0,0.0,BUY,0.03244316927830501
59,291000.0,1338,293051.0,-3389.0,SELL,-0.022006882811084948
60,291000.0,1047,292047.0,0.0,BUY,0.002002786485545106
61,290000.0,1334,292047.0,-3381.0,SELL,-0.10705528070552807
62,292000.0,1051,293051.0,0.0,BUY,0.031444385872430154
63,292000.0,1343,293051.0,-2394.0,SELL,-0.03442353643966547
64,295000.0,1062,296062.0,0.0,BUY,0.18998372115292544
65,290000.0,1334,296062.0,-7396.0,SELL,-0.06435157936040807
66,293000.0,1054,294054.0,0.0,BUY,0.019012133371548685
67,293000.0,1347,294054.0,-2401.0,SELL,-0.08168394596292805
68,370000.0,1332,371332.0,0.0,BUY,0.095142014287861
69,377000.0,1734,371332.0,3934.0,SELL,-0.005087746190050151
70,331000.0,1191,332191.0,0.0,BUY,0.05795909200121178
71,375000.0,1725,332191.0,41084.0,SELL,-0.07999095704596836
72,433000.0,1558,434558.0,0.0,BUY,0.0700446273255392
73,435000.0,2001,434558.0,-1559.0,SELL,-0.03063250790838142
74,431000.0,1551,432551.0,0.0,BUY,0.024885937541895824
75,433000.0,1991,432551.0,-1542.0,SELL,-0.12642582452067677
76,429000.0,1544,430544.0,0.0,BUY,0.061117541012200356
77,427000.0,1964,430544.0,-5508.0,SELL,-0.054496153361079575
78,430000.0,1548,431548.0,0.0,BUY,0.1631033234263161
79,617500.0,2840,431548.0,183112.0,SELL,-0.03411258312284162
80,680000.0,2448,682448.0,0.0,BUY,0.20659321635587982
81,645000.0,2967,682448.0,-40415.0,SELL,-0.012093906592892363
82,637500.0,2295,639795.0,0.0,BUY,0.08285113686184065
83,640000.0,2944,639795.0,-2739.0,SELL,-0.014369163380390347
84,705000.0,2538,707538.0,0.0,BUY,0.13999000665386094
85,697500.0,3208,707538.0,-13246.0,SELL,-0.0032496128264837233
86,715000.0,2574,717574.0,0.0,BUY,0.029430151805493014
87,707500.0,3254,717574.0,-13328.0,SELL,-0.04222524808648493
88,712500.0,2565,715065.0,0.0,BUY,0.11058285007691113
89,742500.0,3415,715065.0,24020.0,SELL,-0.016361846136897486
90,745000.0,2682,747682.0,0.0,BUY,0.030824884923492953
91,1015000.0,4669,747682.0,262649.0,SELL,-0.014783508253318377
92,1052500.0,3789,1056289.0,0.0,BUY,0.06598967255575314
93,1035000.0,4761,1056289.0,-26050.0,SELL,-0.00914772078971157
94,1035000.0,3726,1038726.0,0.0,BUY,0.022325657820314298
95,995000.0,4577,1038726.0,-48303.0,SELL,-0.021021149141546576
96,1007500.0,3627,1011127.0,0.0,BUY,0.08643389590621671
97,1000000.0,4600,1011127.0,-15727.0,SELL,-0.022587775583607646
98,1025000.0,3690,1028690.0,0.0,BUY,0.024005938425774566
99,1095000.0,5037,1028690.0,61273.0,SELL,-0.012362109999305308
100,1092500.0,3933,1096433.0,0.0,BUY,0.04932525169362476
101,1015000.0,4669,1096433.0,-86102.0,SELL,-0.011641266758776943
102,1045000.0,3762,1048762.0,0.0,BUY,0.08363679135272709
103,957500.0,4404,1048762.0,-95666.0,SELL,-0.013337256833217296
104,955000.0,3438,958438.0,0.0,BUY,0.039809220896161845
105,960000.0,4416,958438.0,-2854.0,SELL,-0.12132568971191018
106,950000.0,3420,953420.0,0.0,BUY,0.03820250638878668
107,1072500.0,4933,953420.0,114147.0,SELL,-0.08002188234382292
108,1092500.0,3933,1096433.0,0.0,BUY,0.002736832718319261
109,1092500.0,5025,1096433.0,-8958.0,SELL,-0.06474000755363188
110,1077500.0,3879,1081379.0,0.0,BUY,0.068730468887745
111,1057500.0,4864,1081379.0,-28743.0,SELL,-0.01639688647632628
112,1042500.0,3753,1046253.0,0.0,BUY,0.015462075490035521
113,1035000.0,4761,1046253.0,-16014.0,SELL,-0.02125611354343694
114,1037500.0,3735,1041235.0,0.0,BUY,0.050018621686944875
115,1002500.0,4611,1041235.0,-43346.0,SELL,-0.0012016021361818706
116,1002500.0,3609,1006109.0,0.0,BUY,0.003081882833500172
117,1000000.0,4600,1006109.0,-10709.0,SELL,-0.029609892405089232
118,1012500.0,3645,1016145.0,0.0,BUY,0.013327816472426873
119,1010000.0,4646,1016145.0,-10791.0,SELL,-0.014142273253479191
120,1010000.0,3636,1013636.0,0.0,BUY,0.01529624429946473
121,1012500.0,4657,1013636.0,-5793.0,SELL,-0.02883444878084496
122,1037500.0,3735,1041235.0,0.0,BUY,0.2860268563869818
123,1030000.0,4738,1041235.0,-15973.0,SELL,-0.024871820847890493
124,1020000.0,3672,1023672.0,0.0,BUY,0.038955796307481964
125,1227500.0,5646,1023672.0,198182.0,SELL,-0.12210020393699662
126,1237500.0,4455,1241955.0,0.0,BUY,0.14315696480357654
127,1232500.0,5669,1241955.0,-15124.0,SELL,-0.06152651025065236
128,1277500.0,4599,1282099.0,0.0,BUY,0.1401387842723428
129,1392500.0,6405,1282099.0,103996.0,SELL,-0.021604203409759062
130,1407500.0,5067,1412567.0,0.0,BUY,0.11892463558262585
131,1377500.0,6336,1412567.0,-41403.0,SELL,-0.06561061950872239
132,1370000.0,4932,1374932.0,0.0,BUY,0.040703667520071665
133,1357500.0,6244,1374932.0,-23676.0,SELL,-0.04495129112450744
134,1380000.0,4968,1384968.0,0.0,BUY,0.0752699689107125
135,1410000.0,6486,1384968.0,18546.0,SELL,-0.005914872921973333
136,1447500.0,5211,1452711.0,0.0,BUY,0.015474518602832289
137,1507500.0,6934,1452711.0,47855.0,SELL,-0.025016629688546718
138,1782500.0,6417,1788917.0,0.0,BUY,0.012156531672445138
139,1865000.0,8579,1788917.0,67504.0,SELL,-0.0016564904363736194
140,1845000.0,6642,1851642.0,0.0,BUY,0.09299883251103594
141,1755000.0,8073,1851642.0,-104715.0,SELL,-0.02694497497172635
142,1705000.0,6138,1711138.0,0.0,BUY,0.02062261269127383
143,1695000.0,7797,1711138.0,-23935.0,SELL,-0.059888650769368126
144,1647500.0,5931,1653431.0,0.0,BUY,0.0745441874179807
145,1592500.0,7325,1653431.0,-68256.0,SELL,-0.16811938927476047
146,1530000.0,5508,1535508.0,0.0,BUY,0.018847925189773095
147,1482500.0,6819,1535508.0,-59827.0,SELL,-0.00830633621534905
148,1470000.0,5292,1475292.0,0.0,BUY,0.007521756208196636
149,1447500.0,6658,1475292.0,-34450.0,SELL,-0.061857872618086625
150,1465000.0,5274,1470274.0,0.0,BUY,0.02933501674829696
151,1462500.0,6727,1470274.0,-14501.0,SELL,-0.011926592467765276
152,1482500.0,5337,1487837.0,0.0,BUY,0.0657236872034306
153,1487500.0,6842,1487837.0,-7179.0,SELL,-0.04960797191363418
154,1585000.0,5706,1590706.0,0.0,BUY,0.07779470591795304
155,1670000.0,7682,1590706.0,71612.0,SELL,-0.19726127880028801
156,1562500.0,5625,1568125.0,0.0,BUY,0.01464992697978982
157,1545000.0,7107,1568125.0,-30232.0,SELL,-0.007018073071939657
158,1497500.0,5391,1502891.0,0.0,BUY,0.1205806104264924
159,1497500.0,6888,1502891.0,-12279.0,SELL,-0.36552397429153133
160,1255000.0,4518,1259518.0,0.0,BUY,0.017179279471435962
161,1220000.0,5612,1259518.0,-45130.0,SELL,-0.06423186990370622
162,1232500.0,4437,1236937.0,0.0,BUY,0.0077416871053418565
163,1482500.0,6819,1236937.0,238744.0,SELL,-0.054689663237876454
164,1495000.0,5382,1500382.0,0.0,BUY,0.1357523760280785
165,1527500.0,7026,1500382.0,20092.0,SELL,-0.06277464228004037
166,1600000.0,5760,1605760.0,0.0,BUY,0.10728294546994928
167,1530000.0,7038,1605760.0,-82798.0,SELL,-0.033467186273124894
168,1525000.0,5490,1530490.0,0.0,BUY,0.017737064096041442
169,1525000.0,7015,1530490.0,-12505.0,SELL,-0.04548309224182797
170,1555000.0,5598,1560598.0,0.0,BUY,0.03711202798413333
171,1477500.0,6796,1560598.0,-89894.0,SELL,-0.008054492763357327
172,1480000.0,5328,1485328.0,0.0,BUY,0.01732184790683251
173,1585000.0,7291,1485328.0,92381.0,SELL,-0.018537317655387565
174,1582500.0,5697,1588197.0,0.0,BUY,0.005028289625708535
175,1532500.0,7049,1588197.0,-62746.0,SELL,-0.019650592674651694
176,1530000.0,5508,1535508.0,0.0,BUY,0.08109307563909855
177,1542500.0,7095,1535508.0,-103.0,SELL,-0.03269843170975118
178,1577500.0,5679,1583179.0,0.0,BUY,0.008369166941172056
179,1537500.0,7072,1583179.0,-52751.0,SELL,-0.03273126929416084
180,1597500.0,5751,1603251.0,0.0,BUY,0.013005218281611263
181,1617500.0,7440,1603251.0,6809.0,SELL,-0.026337955890694324
182,1575000.0,5670,1580670.0,0.0,BUY,0.02128631835185428
183,1575000.0,7245,1580670.0,-12915.0,SELL,-0.02118195792095431
184,1655000.0,5958,1660958.0,0.0,BUY,0.19230797478815354
185,1725000.0,7935,1660958.0,56107.0,SELL,-0.009363754411235147
186,1765000.0,6354,1771354.0,0.0,BUY,0.04761877490314362
187,1832500.0,8429,1771354.0,52717.0,SELL,-0.004307199751534201
188,1835000.0,6606,1841606.0,0.0,BUY,0.029831076900095295
189,1710000.0,7866,1841606.0,-139472.0,SELL,-0.05667370223777779
190,1622500.0,5841,1628341.0,0.0,BUY,0.04448383666740004
191,1637500.0,7532,1628341.0,1627.0,SELL,-0.014849355740928228
192,1650000.0,5940,1655940.0,0.0,BUY,0.0823550922854013
193,1617500.0,7440,1655940.0,-45880.0,SELL,-0.02265743930050696
194,1520000.0,5472,1525472.0,0.0,BUY,0.03475813836001376
195,1562500.0,7187,1525472.0,29841.0,SELL,-0.02967827092342712
196,1547500.0,5571,1553071.0,0.0,BUY,0.012234177157504035
197,1522500.0,7003,1553071.0,-37574.0,SELL,-0.12709208039724448
198,1555000.0,5598,1560598.0,0.0,BUY,0.05334997782654731
199,1500000.0,6900,1560598.0,-67498.0,SELL,-0.02887605808496804
200,1327500.0,4779,1332279.0,0.0,BUY,0.09463055993164958
201,1305000.0,6003,1332279.0,-33282.0,SELL,-0.09683953806619565
